imageURL,productDisplayName,articleType,baseColour,gender,usage,season
https://example.com/image_1.jpg,Product 1,Tops,Red,Men,Casual,Summer
https://example.com/image_2.jpg,Product 2,Dresses,Blue,Women,Formal,Winter
https://example.com/image_3.jpg,Product 3,Shoes,Green,Men,Sports,Fall
https://example.com/image_4.jpg,Product 4,Bottoms,Black,Women,Party,Spring
https://example.com/image_5.jpg,Product 5,Tops,Red,Men,Casual,Summer
https://example.com/image_6.jpg,Product 6,Dresses,Blue,Women,Formal,Winter
https://example.com/image_7.jpg,Product 7,Shoes,Green,Men,Sports,Fall
https://example.com/image_8.jpg,Product 8,Bottoms,Black,Women,Party,Spring
https://example.com/image_9.jpg,Product 9,Tops,Red,Men,Casual,Summer
https://example.com/image_10.jpg,Product 10,Dresses,Blue,Women,Formal,Winter